date, pm25
2020-10-01,29
2020-10-02,48
2020-10-03,39
2020-10-04,53
2020-10-05,49
2020-10-06,27
2020-10-07,23
2020-10-08,31
2020-10-09,30
2020-10-10,30
2020-10-11,18
2020-10-12,2
2020-10-13,10
2020-10-14,12
2020-10-15,11
2020-10-16,13
2020-10-17,15
2020-10-18,5
2020-10-19,17
2020-10-20,31
2020-10-21,27
2020-10-22,26
2020-10-23,15
2020-10-24,27
2020-10-25,26
2020-10-26,35
2020-10-27,46
2020-10-28,11
2020-10-29,20
2020-10-30,27
2020-10-31,16
2020-11-01,10
2020-11-02,25
2020-11-03,38
2020-11-04,35
2020-11-05,19
2020-11-06,11
2020-11-07,23
2020-11-08,14
2020-11-09,4
2020-11-10,27
2020-11-11,12
2020-11-12,19
2020-11-13,48
2020-11-14,37
2020-11-15,17
2020-11-16,22
2020-11-17,46
2020-11-18,41
2020-11-19,48
2020-11-20,34
2020-11-21,47
2020-11-22,27
2020-11-23,55
2020-11-24,33
2020-11-25,55
2020-11-26,15
2020-11-27,15
2020-11-28,37
2020-11-29,18
2020-11-30,42
2020-12-01,34
2020-12-02,17
2020-12-03,36
2020-12-04,39
2020-12-05,42
2020-12-06,42
2020-12-07,26
2020-12-08,31
2020-12-09,35
2020-12-10,17
2020-12-11,18
2020-12-12,47
2020-12-13,12
2020-12-14,16
2020-12-15,48
2020-12-16,27
2020-12-17,26
2020-12-18,36
2020-12-19,44
2020-12-20,13
2020-12-21,3
2020-12-22,19
2020-12-23,11
2020-12-24,22
2020-12-25,17
2020-12-26,27
2020-12-27,46
2020-12-28,65
2020-12-29,30
2020-12-30,33
2020-12-31,29
2021-01-01,56
2021-01-02,51
2021-01-03,18
2021-01-04,10
2021-01-05,27
2021-01-06,30
2021-01-07,35
2021-01-08,41
2021-01-09,54
2021-01-10,34
2021-01-11,18
2021-01-12,17
2021-01-13,28
2021-01-14,4
2021-01-15,9
2021-01-16,10
2021-01-17,16
2021-01-18,22
2021-01-19,12
2021-01-20,20
2021-01-21,11
2021-01-22,18
2021-01-23,29
2021-01-24,24
2021-01-25,20
2021-01-26,24
2021-01-27,36
2021-01-28,37
2021-01-29,57
2021-01-30,73
2021-01-31,49
2021-02-01,44
2021-02-02,47
2021-02-03,88
2021-02-04,45
2021-02-05,35
2021-02-06,36
2021-02-07,18
2021-02-08,49
2021-02-09,59
2021-02-10,46
2021-02-11,39
2021-02-12,28
2021-02-13,20
2021-02-14,38
2021-02-15,27
2021-02-16,36
2021-02-17,88
2021-02-18,23
2021-02-19,43
2021-02-20,17
2021-02-21,5
2021-02-22,6
2021-02-23,9
2021-02-24,14
2021-02-25,20
2021-02-26,10
2021-02-27,12
2021-02-28,36
2021-03-01,14
2021-03-02,15
2021-03-03,37
2021-03-04,38
2021-03-05,47
2021-03-06,45
2021-03-07,53
2021-03-08,25
2021-03-09,14
2021-03-10,43
2021-03-11,22
2021-03-12,39
2021-03-13,31
2021-03-14,32
2021-03-15,29
2021-03-16,23
2021-03-17,34
2021-03-18,39
2021-03-19,37
2021-03-20,16
2021-03-21,9
2021-03-22,10
2021-03-23,9
2021-03-24,23
2021-03-25,15
2021-03-26,30
2021-03-27,37
2021-03-28,19
2021-03-29,7
2021-03-30,3
2021-03-31,8
2021-04-01,24
2021-04-02,40
2021-04-03,23
2021-04-04,26
2021-04-05,34
2021-04-06,21
2021-04-07,35
2021-04-08,38
2021-04-09,6
2021-04-10,16
2021-04-11,9
2021-04-12,5
2021-04-13,20
2021-04-14,33
2021-04-15,21
2021-04-16,27
2021-04-17,31
2021-04-18,29
2021-04-19,22
2021-04-20,6
2021-04-21,25
2021-04-22,21
2021-04-23,6
2021-04-24,24
2021-04-25,26
2021-04-26,24
2021-04-27,26
2021-04-28,37
2021-04-29,19
2021-04-30,23
2021-05-01,22
2021-05-02,14
2021-05-03,5
2021-05-04,18
2021-05-05,11
2021-05-06,9
2021-05-07,28
2021-05-08,21
2021-05-09,3
2021-05-10,31
2021-05-11,25
2021-05-12,11
2021-05-13,18
2021-05-14,20
2021-05-15,20
2021-05-16,22
2021-05-17,19
2021-05-18,34
2021-05-19,23
2021-05-20,7
2021-05-21,24
2021-05-22,21
2021-05-23,35
2021-05-24,18
2021-05-25,7
2021-05-26,23
2021-05-27,32
2021-05-28,22
2021-05-29,7
2021-05-30,9
2021-05-31,17
2021-06-01,19
2021-06-02,24
2021-06-03,32
2021-06-04,43
2021-06-05,34
2021-06-06,28
2021-06-07,6
2021-06-08,5
2021-06-09,14
2021-06-10,30
2021-06-11,17
2021-06-12,11
2021-06-13,17
2021-06-14,26
2021-06-15,26
2021-06-16,49
2021-06-17,17
2021-06-18,24
2021-06-19,34
2021-06-20,31
2021-06-21,19
2021-06-22,27
2021-06-23,27
2021-06-24,29
2021-06-25,28
2021-06-26,40
2021-06-27,9
2021-06-28,36
2021-06-29,41
2021-06-30,45
2021-07-01,34
2021-07-02,23
2021-07-03,41
2021-07-04,41
2021-07-05,42
2021-07-06,29
2021-07-07,34
2021-07-08,44
2021-07-09,34
2021-07-10,55
2021-07-11,49
2021-07-12,37
2021-07-13,38
2021-07-14,43
2021-07-15,87
2021-07-16,124
2021-07-17,125
2021-07-18,89
2021-07-19,198
2021-07-20,146
2021-07-21,65
2021-07-22,55
2021-07-23,80
2021-07-24,96
2021-07-25,106
2021-07-26,76
2021-07-27,50
2021-07-28,63
2021-07-29,53
2021-07-30,120
2021-07-31,84
2021-08-01,83
2021-08-02,93
2021-08-03,86
2021-08-04,101
2021-08-05,89
2021-08-06,76
2021-08-07,100
2021-08-08,41
2021-08-09,11
2021-08-10,27
2021-08-11,26
2021-08-12,16
2021-08-13,30
2021-08-14,53
2021-08-15,112
2021-08-16,140
2021-08-17,110
2021-08-18,18
2021-08-19,23
2021-08-20,31
2021-08-21,17
2021-08-22,20
2021-08-23,25
2021-08-24,8
2021-08-25,14
2021-08-26,28
2021-08-27,34
2021-08-28,43
2021-08-29,21
2021-08-30,23
2021-08-31,34
